Segment,Customer_Count,Total_Revenue,Avg_Spend,Avg_Recency,Revenue_Share_%
At Risk,18577,3114558.07,167.65667599720084,316.3479033213113,20.21762343952076
Champions,18728,3155171.41,168.47348408799658,45.55184750106792,20.481258021470047
Lost Customers,18638,3030624.68,162.60460779053548,473.38324927567334,19.672784128490534
Loyal Customers,18705,3181034.73,170.06333761026463,135.65249933172947,20.649145359867248
Potential Loyalists,18709,2923775.22,156.27640280079106,220.36811160404085,18.979189050651403
